Category,License,Dependency,Notes
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.sourceforge.htmlunit # neko-htmlunit # 2.27,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-exec # 1.3,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.6,
Apache,"Apache License, Version 2.0 (LICENSE.txt)",org.apache.httpcomponents # httpasyncclient # 4.1.2,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.2,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpclient # 4.5.3,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore # 4.4.6,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpcore-nio # 4.4.5,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.httpcomponents # httpmime # 4.5.3,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.logging.log4j # log4j-api # 2.9.1,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.logging.log4j # log4j-to-slf4j # 2.9.1,
Apache,"Apache License, Version 2.0",org.atteo.classindex # classindex # 3.4,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-client # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-http # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-io # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty # jetty-util # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.alpn # alpn-api # 1.1.3.v20160715,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.websocket # websocket-api # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.websocket # websocket-client # 9.4.5.v20170502,
Apache,Apache Software License - Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.eclipse.jetty.websocket # websocket-common # 9.4.5.v20170502,
Apache,Apache-2.0 (https://opensource.org/licenses/Apache-2.0),com.typesafe.akka # akka-http-core_2.12 # 10.0.14,
Apache,Apache-2.0 (https://opensource.org/licenses/Apache-2.0),com.typesafe.akka # akka-http2-support_2.12 # 10.0.14,
Apache,Apache-2.0 (https://opensource.org/licenses/Apache-2.0),com.typesafe.akka # akka-parsing_2.12 # 10.0.14,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # build-link # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # filters-helpers_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ahc-ws_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-akka-http-server_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-akka-http2-support_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-cache_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ehcache_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-exceptions # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-functional_2.12 # 2.6.10,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-guice_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-json_2.12 # 2.6.10,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-logback_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-netty-utils # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-server_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-streams_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-test_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ws_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play_2.12 # 2.6.20,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # twirl-api_2.12 # 1.3.15,
